,Страна,Производитель,"Длительность полета, час","Практическая дальность, км","Полезная нагрузка, кг","Макс. скорость, км/ч","Практический потолок, м","Взлетный вес, кг","Размах крыльев, м","Длина, м"
115,Китай,Harbin,40.0,,150.0,180.0,8000.0,1250.0,,
116,Китай,Chengdu,20.0,,480.0,370.0,9000.0,4200.0,20.5,11.0
117,Чили,R.M.S.S.A.,0.8,110.0,20.0,360.0,8200.0,210.0,4.0,3.9
118,Чили,R.M.S.S.A.,1.0,110.0,31.0,796.0,12000.0,183.0,1.7,3.6
119,Чили,R.M.S.S.A,4.0,100.0,15.0,240.0,3000.0,60.0,2.5,1.4
120,Чили,Idetec,2.0,20.0,1.0,65.0,5000.0,4.5,,
121,Канада,DraganFly,,,0.4,50.0,2438.0,1.3,0.5,0.5
122,Канада,Aeryon,0.8,10.0,,65.0,450.0,2.4,1.0,1.0
123,Канада,MMIST,15.0,800.0,260.0,61.0,5486.0,600.0,1.0,2.9
124,Бразилия,GyroFly,0.5,2.0,1.0,54.0,1000.0,,,
125,Бразилия,AeroFoundry,,210.0,4.0,,2000.0,14.0,2.1,
126,Бельгия,Trimble,0.5,52.0,,140.0,5000.0,2.9,1.0,
127,Аргентина,Lipan,5.0,40.0,,180.0,1800.0,60.0,4.6,
128,Аргентина,Nostromo,6.0,30.0,9.0,163.0,3000.0,15.6,4.0,2.5
129,Аргентина,Nostromo,1.5,15.0,,105.0,4000.0,5.0,2.2,1.2
130,Аргентина,Aerodreams,10.0,,230.0,190.0,4500.0,450.0,6.0,7.2
131,Аргентина,Aerodreams,15.0,,18.0,160.0,4000.0,48.0,3.6,
132,Израиль,Israel,18.0,250.0,120.0,204.0,7010.0,450.0,8.6,
133,Израиль,Israel,4.0,60.0,10.0,,914.0,65.0,8.0,
134,Норвегия,Prox,0.45,1.6,,18.0,,1.3,0.12,0.2
135,Польша,FlyTronic,3.0,200.0,4.0,120.0,4000.0,11.0,3.6,1.9
136,Нидерланды,High,4.5,50.0,5.0,130.0,6000.0,21.0,1.8,1.76
137,Австралия,Aerosonde,14.0,140.0,9.0,148.0,4500.0,36.0,3.6,2.0
138,Германия,EMT,8.0,100.0,,70.0,5000.0,40.0,4.2,2.4
139,Латвия,UAV,20.0,100.0,,115.0,4500.0,23.0,3.3,2.3
140,Израиль,Israel,45.0,1000.0,450.0,278.0,9144.0,1450.0,17.0,
141,Израиль,Israel,0.6,,,65.0,,4.8,0.8,1.5
142,Германия,Aibotix,0.4,,2.0,40.0,1000.0,6.6,1.1,1.1
143,Россия,Zala,1.4,25.0,0.3,130.0,3600.0,2.5,0.8,0.4
144,Россия,Orlan,8.0,500.0,15.0,180.0,5000.0,50.0,3.8,2.4
145,Словения,C-Astral,3.0,40.0,,108.0,5000.0,4.5,2.3,1.0
146,Швейцария,UMS,5.0,90.0,40.0,140.0,3000.0,235.0,4.6,4.0
147,Швейцария,SenseFly,0.8,3.0,,90.0,,0.7,1.0,
148,Швейцария,UMS,12.0,200.0,70.0,200.0,4900.0,250.0,7.2,4.8
149,Турция,Turkish,24.0,200.0,200.0,217.0,9144.0,1600.0,17.0,8.0
150,Австрия,Schiebel,10.0,200.0,50.0,240.0,5486.0,200.0,3.4,3.1
151,Беларусия,Indela,5.0,,25.0,37.0,1500.0,125.0,3.1,3.0
152,Израиль,Elbit,3.0,15.0,1.2,,4572.0,7.5,2.0,
153,Израиль,Elbit,36.0,,350.0,222.0,9100.0,1180.0,15.0,9.1
