,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
894,Китай,Самолетный тип,20,3,20,4000,Шасси,Шасси,ДВС,2.4,140,В производстве,Aurora UAV Technology Co,10,,,,
895,Китай,Вертолетный тип,10.2,0.33,10,4000,Вертикальный,Вертикальный,ДВС,,90,Снято с производства,Aurora UAV Technology Co,3.5,,,1.84,
896,Китай,Коптерный тип,,,2.5,250,Вертикальный,Вертикальный,Электрический,,45,В производстве,Wuhan University of Technology,,,,,
897,Китай,Вертолетный тип,30.7,,10,4000,Вертикальный,Вертикальный,ДВС,,70,Снято с производства,Aurora UAV Technology Co,10,,,2.1,
898,Китай,Коптерный тип,6.5,0.58,5,2100,Вертикальный,Вертикальный,Электрический,,55,В производстве,Blue Sky Focus,,,,,
899,Китай,Коптерный тип,0.052,0.5,0.15,100,Вертикальный,Вертикальный,Электрический,,36,В производстве,Art-Tech R/C Hobby Co,,,,,
900,Китай,Вертолетный тип,12,,5,1000,Вертикальный,Вертикальный,Электрический,,70,В производстве,Art-Tech R/C Hobby Co,,,,1.8,
901,Китай,Самолетный тип,,,3500,10500,Шасси,Шасси,ДВС,,820,Снято с производства,Nanjing University of Aeronautics and Astronautics,,,,,
902,США,Коптерный тип,0.19,0.25,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.142
903,Китай,Вертолетный тип,35,0.83,10,1000,Вертикальный,Вертикальный,ДВС,,90,В производстве,Art-Tech R/C Hobby Co,15,,,2.5,
904,Китай,Самолетный тип,10,,10,4100,Шасси,Шасси,ДВС,,120,В производстве,Nanjing University of Aeronautics and Astronautics,,,,,
905,США,Коптерный тип,0.095,0.16,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.292
906,Китай,Вертолетный тип,45,,20,2100,Вертикальный,Вертикальный,ДВС,,120,В производстве,Beijing Ao-Feng-Li-Wei Science and Technology,,,,2.25,
907,Китай,Вертолетный тип,50,,70,2100,Вертикальный,Вертикальный,ДВС,,70,В производстве,Oriental Titan,,,,2.15,
908,Китай,Самолетный тип,,,40,3600,Шасси,Шасси,ДВС,,100,В производстве,Nanjing University of Aeronautics and Astronautics,,,,,
909,США,Коптерный тип,0.008,0.13,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.092
910,Китай,Самолетный тип,,2,5,1200,Пусковая установка,На фюзеляж,ДВС,2.2,90,В производстве,An Hua Agricultural Insurance Co,,,,,
911,Китай,Самолетный тип,,,2.5,1000,Шасси,Шасси,ДВС,,100,Снято с производства,Nanjing University of Aeronautics and Astronautics,,,,,
912,США,Коптерный тип,0.0125,0.05,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.048
913,Колумбия,Самолетный тип,35,,300,3100,Шасси,Шасси,ДВС,2.2,100,В производстве,,,,,,
914,Китай,Вертолетный тип,220,0.75,40,4100,Вертикальный,Вертикальный,Электрический,,140,В производстве,Changhe Aircraft Industries Corporation,40,,,3.86,
915,США,Коптерный тип,0.0165,0.16,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.14
916,Колумбия,Самолетный тип,50,,120,4300,Шасси,Шасси,ДВС,2.1,85,В производстве,,,,,,
917,Китай,Самолетный тип,80,3,100,3100,Шасси,Шасси,ДВС,,180,В производстве,Chengdu Aircraft Industry Group,20,,,,
918,США,Коптерный тип,0.022,0.11,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.14
919,Колумбия,Коптерный тип,2.4,0.33,1.5,1000,Вертикальный,Вертикальный,Электрический,,20,В производстве,Advector Unmanned Systems,,,,,
920,Китай,Самолетный тип,90,,100,4100,Пусковая установка,Шасси,ДВС,4.18,180,В производстве,Chengdu Aircraft Industry Group,20,,,,
921,США,Коптерный тип,0.027,0.2,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Blade,,,,,0.13
922,Китай,Самолетный тип,9100,6.5,7000,15000,Шасси,Шасси,ДВС,18.8,850,В производстве,Chengdu Aircraft Industry Group,,,,,
923,Китай,Коптерный тип,0.012,0.13,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.04
924,Турция,Самолетный тип,14,,30,3000,Пусковая установка,На фюзеляж,Электрический,2.7,150,В производстве,SE Defense and Aviation,,,,,
925,Турция,Самолетный тип,3.5,1,10,3500,С руки,На фюзеляж,Электрический,1.6,90,В производстве,Baykar Makina,,,,,
926,Турция,Самолетный тип,12,1.5,15,4100,С руки,На фюзеляж,Электрический,1.6,120,В производстве,Global Teknik,,,,,
927,Турция,Вертолетный тип,35,,15,2000,Вертикальный,Вертикальный,ДВС,,90,В производстве,Baykar,,,,1.32,
928,Турция,Самолетный тип,85,2,50,3700,Пусковая установка,Парашютная система,ДВС,3.75,170,В производстве,Turkish Aerospace Industries,,,,,
929,Турция,Самолетный тип,10,0.5,20,2100,Пусковая установка,На фюзеляж,ДВС,1.61,150,Снято с производства,Turkish Aerospace Industries,,,,,
930,Турция,Самолетный тип,12,1,20,900,"Пусковая установка, Шасси",Шасси,ДВС,2,100,Снято с производства,Turkish Aerospace Industries,,,,,
931,Турция,Самолетный тип,35,6,50,1600,Шасси,Шасси,ДВС,3.6,120,В производстве,Turkish Aerospace Industries,,,,,
932,Турция,Вертолетный тип,325,,200,3100,Вертикальный,Вертикальный,ДВС,,120,В производстве,Turkish Aerospace Industries,,,,5.95,
933,Турция,Самолетный тип,90,1,150,9000,Пусковая установка,На фюзеляж,Газотурбинный,1.5,740,В производстве,Turkish Aerospace Industries,,,,,
934,Турция,Самолетный тип,70,,50,3700,Пусковая установка,На фюзеляж,Газотурбинный,2.7,330,В производстве,Turkish Aerospace Industries,,,,,
935,Китай,Самолетный тип,9,4,40,2100,Шасси,Шасси,ДВС,2.61,90,Снято с производства,Chinese Academy of Sciences,1,,,,
936,Китай,Коптерный тип,0.987,0.25,1,,Вертикальный,Вертикальный,Электрический,,36,В производстве,Cheerson,,GPS,,,0.3
937,Китай,Самолетный тип,80,,400,4100,Шасси,Шасси,ДВС,6.1,160,В производстве,Chinese Academy of Sciences,30,,,,
938,Китай,Самолетный тип,,,15,3100,Шасси,Шасси,ДВС,,100,В производстве,Chinese Academy of Sciences,,,,,
939,Китай,Коптерный тип,,0.67,2.5,350,Вертикальный,Вертикальный,Электрический,,50,В производстве,China Aerospace Science and Industry Corporation,,GPS,,,
940,Китай,Коптерный тип,0.017,0.06,0.03,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.06
941,Китай,Самолетный тип,,1,20,3100,Пусковая установка,Парашютная система,Электрический,,100,В производстве,China Aerospace Science and Industry Corporation,,,,,
942,Китай,Самолетный тип,6,0.75,15,3100,"Пусковая установка, С руки",Парашютная система,Электрический,,100,В производстве,China Aerospace Science and Industry Corporation,1.5,,-20°C…50 °C,,
943,Китай,Коптерный тип,0.012,0.08,0.02,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.04
944,Китай,Самолетный тип,5.8,1,20,5100,"Пусковая установка, С руки",Парашютная система,Электрический,2,110,В производстве,China Aerospace Science and Industry Corporation,2,,,,
945,Китай,Самолетный тип,,,15,2100,Шасси,Шасси,ДВС,,80,В производстве,China Aerospace Science and Industry Corporation,,,,,
946,Китай,Коптерный тип,0.012,0.08,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.04
947,Китай,Самолетный тип,,4.5,250,3600,Пусковая установка,Парашютная система,ДВС,4.5,150,В производстве,China Aerospace Science and Industry Corporation,30,,,,
948,Китай,Самолетный тип,,8,250,4100,Пусковая установка,Парашютная система,ДВС,4.5,150,В производстве,China Aerospace Science and Industry Corporation,30,,,,
949,Китай,Коптерный тип,0.052,0.13,50,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.185
950,Китай,Самолетный тип,,3.5,120,3100,Пусковая установка,Парашютная система,ДВС,3.5,120,В производстве,China Aerospace Science and Industry Corporation,,,,,
951,Китай,Самолетный тип,22,16,150,3500,Пусковая установка,Парашютная система,ДВС,3.5,140,В производстве,China Aerospace Science and Industry Corporation,5,,,,
952,Китай,Самолетный тип,18,3,30,3500,Пусковая установка,Парашютная система,ДВС,2.7,140,В производстве,China Aerospace Science and Industry Corporation,5,,,,
953,Китай,Коптерный тип,0.055,0.13,0.05,,Вертикальный,Вертикальный,Электрический,,,В производстве,Cheerson,,,,,0.155
954,Китай,Самолетный тип,32,4,120,3900,Пусковая установка,Парашютная система,ДВС,3,130,В производстве,China Aerospace Science and Industry Corporation,5,,,,
