,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
0,США,Самолетный тип,6500,30,14.5,16500,Шасси,Шасси,Газотурбинный,24.75,660,Снято с производства,Ryan Aeronautical Company,3950,,,,
1,Испания,Коптерный тип,6,0.67,10,900,Вертикальный,Вертикальный,Электрический,,20,В производстве,,,,,,
2,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
3,США,Самолетный тип,4990,,4830,29000,Шасси,Шасси,Газотурбинный,5.87,3900,Снято с производства,Lockheed,,,,,
4,СССР,Самолетный тип,5370,Нет данных,1000,6000,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110,Снято с производства,ОКБ Туполева,,,,,
5,Италия,Самолетный тип,5460,,600,,Шасси,Шасси,ДВС,8.2,360,Снято с производства,Aeronautica Lombarda,,,,,
6,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1,GPS,,,
7,США,Самолетный тип,3630,,2400,13200,Шасси,Шасси,Газотурбинный,10.3,920,Снято с производства,Boeing,2041,,,,
8,Франция,Самолетный тип,6000,Нет данных,Нет данных,14000,Пусковая установка,Парашютная система,Газотурбинный,12.5,850,В разработке,Dassault Aviation,1500,Нет данных,Нет данных,,
9,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
10,США,Самолетный тип,5897,24,"14,5",16500,Шасси,Шасси,Газотурбинный,27,625,Снято с производства,Boeing,,,,,
11,СССР,Самолетный тип,7300,0.47,,16500,Шасси,Шасси,Газотурбинный,9,1200,Снято с производства,МиГ,,,,,
12,СССР,Самолетный тип,8400,1.77,,14400,Шасси,Шасси,Газотурбинный,"7,15",1800,Снято с производства,Завод №918,,,,,
13,Великобритания,Самолетный тип,8664,,1540,13100,Шасси,Шасси,Газотурбинный,"11,33",962,Снято с производства,Gloster,,,,,
14,Россия,Самолетный тип,10000,6,,16000,Шасси,Шасси,Газотурбинный,,1100,В разработке,ОКБ Яковлева,1200,,,,
15,Россия,Самолетный тип,10000,,4000,12000,Шасси,Шасси,Газотурбинный,"11,5",800,В разработке,МиГ,6000,,,,
16,Испания,Коптерный тип,6,0.67,10,900,Вертикальный,Вертикальный,Электрический,,20,В производстве,,,,,,
17,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
18,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
19,США,Самолетный тип,4990,,4830,29000,Шасси,Шасси,Газотурбинный,5.87,3900,Снято с производства,Lockheed,,,,,
20,СССР,Самолетный тип,5370,Нет данных,1000,6000,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110,Снято с производства,ОКБ Туполева,,,,,
21,Италия,Самолетный тип,5460,,600,,Шасси,Шасси,ДВС,8.2,360,Снято с производства,Aeronautica Lombarda,,,,,
22,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1,GPS,,,
23,США,Самолетный тип,3630,,2400,13200,Шасси,Шасси,Газотурбинный,10.3,920,Снято с производства,Boeing,2041,,,,
24,Франция,Самолетный тип,6000,Нет данных,Нет данных,14000,Пусковая установка,Парашютная система,Газотурбинный,12.5,850,В разработке,Dassault Aviation,1500,Нет данных,Нет данных,,
25,США,Самолетный тип,6500,30,14.5,16500,Шасси,Шасси,Газотурбинный,24.75,660,Снято с производства,Ryan Aeronautical Company,3950,,,,
26,США,Самолетный тип,5897,24,"14,5",16500,Шасси,Шасси,Газотурбинный,27,625,Снято с производства,Boeing,,,,,
27,СССР,Самолетный тип,7300,0.47,,16500,Шасси,Шасси,Газотурбинный,9,1200,Снято с производства,МиГ,,,,,
28,СССР,Самолетный тип,8400,1.77,,14400,Шасси,Шасси,Газотурбинный,"7,15",1800,Снято с производства,Завод №918,,,,,
29,Великобритания,Самолетный тип,8664,,1540,13100,Шасси,Шасси,Газотурбинный,"11,33",962,Снято с производства,Gloster,,,,,
30,Россия,Самолетный тип,10000,6,,16000,Шасси,Шасси,Газотурбинный,,1100,В разработке,ОКБ Яковлева,1200,,,,
31,Россия,Самолетный тип,10000,,4000,12000,Шасси,Шасси,Газотурбинный,"11,5",800,В разработке,МиГ,6000,,,,
32,США,Самолетный тип,5897,24,"14,5",16500,Шасси,Шасси,Газотурбинный,27,625,Снято с производства,Boeing,,,,,
33,США,Самолетный тип,6500,30,14.5,16500,Шасси,Шасси,Газотурбинный,24.75,660,Снято с производства,Ryan Aeronautical Company,3950,,,,
34,Франция,Самолетный тип,6000,Нет данных,Нет данных,14000,Пусковая установка,Парашютная система,Газотурбинный,12.5,850,В разработке,Dassault Aviation,1500,Нет данных,Нет данных,,
35,США,Самолетный тип,3630,,2400,13200,Шасси,Шасси,Газотурбинный,10.3,920,Снято с производства,Boeing,2041,,,,
36,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1,GPS,,,
37,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
38,СССР,Самолетный тип,5370,Нет данных,1000,6000,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110,Снято с производства,ОКБ Туполева,,,,,
39,США,Самолетный тип,4990,,4830,29000,Шасси,Шасси,Газотурбинный,5.87,3900,Снято с производства,Lockheed,,,,,
40,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
41,СССР,Самолетный тип,35610,Нет данных,3680,22800,Пусковая установка,Парашютная система,Газотурбинный,8.41,2700,Снято с производства,ОКБ Туполева,,Нет данных,Нет данных,,
42,США,Самолетный тип,,20,,18288,Шасси,Шасси,Газотурбинный,20.1,740,В производстве,General Atomics Aeronautical Systems,,,,,
43,США,Самолетный тип,2700,,685,,Шасси,Шасси,ДВС,14.60,225,Снято с производства,Interstate Aircraft Company,,,,,
44,США,Самолетный тип,2450,,3700,24400,Шасси,Шасси,Газотурбинный,14.50,890,Снято с производства,Ryan Aeronautical Company,725,,,,
45,СССР,Самолетный тип,2050,,4000,100000,Пусковая установка,Парашютная система,Газотурбинный,,11900,Снято с производства,ОКБ Туполева,,,,,
46,США,Самолетный тип,1737,,3862,21336,Пусковая установка,Парашютная система,Газотурбинный,9.75,676,Снято с производства,Teledyne Ryan,,,,,
47,Великобритания,Самолетный тип,1724,,,6100,,Шасси,ДВС,"9,45",277,Снято с производства,Airspeed (1934) Ltd,,,,,
48,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
49,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
50,США,Самолетный тип,,20,,18288,Шасси,Шасси,Газотурбинный,20.1,740,В производстве,General Atomics Aeronautical Systems,,,,,
51,США,Самолетный тип,2700,,685,,Шасси,Шасси,ДВС,14.60,225,Снято с производства,Interstate Aircraft Company,,,,,
52,США,Самолетный тип,2450,,3700,24400,Шасси,Шасси,Газотурбинный,14.50,890,Снято с производства,Ryan Aeronautical Company,725,,,,
53,СССР,Самолетный тип,2050,,4000,100000,Пусковая установка,Парашютная система,Газотурбинный,,11900,Снято с производства,ОКБ Туполева,,,,,
54,США,Самолетный тип,1737,,3862,21336,Пусковая установка,Парашютная система,Газотурбинный,9.75,676,Снято с производства,Teledyne Ryan,,,,,
55,Великобритания,Самолетный тип,1724,,,6100,,Шасси,ДВС,"9,45",277,Снято с производства,Airspeed (1934) Ltd,,,,,
56,Китай,Самолетный тип,1700,3,2500,17500,Пусковая установка,Парашютная система,Газотурбинный,9.76,"800, 800",Снято с производства,BUAA,65,,,,
57,Австралия,Самолетный тип,1650,Нет данных,1000,19200,Шасси,Шасси,Газотурбинный,7.62,908,Снято с производства,Government Aircraft Factory,,Нет данных,Нет данных,,
58,Израиль,Самолетный тип,46,5,50,4600,Пусковая установка,Парашютная система,ДВС,"3,6",205,Снято с производства,Silver Arrow,25,,,,
59,США,Самолетный тип,1451,,1207,15240,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038,Снято с производства,Ryan Aeronautical Company,,,,,
60,СССР,Самолетный тип,1400,,360,5000,Пусковая установка,Шасси,Газотурбинный,2.25,950,Снято с производства,ОКБ Туполева,,,,,
61,СССР,Самолетный тип,1230,0.28,180,1000,Пусковая установка,Шасси,Газотурбинный,2.24,950,Снято с производства,ОКБ Туполева,,,,,
62,США,Самолетный тип,1134,1.22,322,18000,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700,Снято с производства,Teledyne Ryan,454,,,,
63,США,Самолетный тип,6407,96,,19800,Шасси,Шасси,ДВС,"45,72",270,В разработке,Boeing Phantom Works,907,,,,
64,США,Самолетный тип,115,18,250,5200,Пусковая установка,В сетку,ДВС,4.3,165,В производстве,Northrop Grumman,56.6,,,,
65,США,Самолетный тип,6350,,3889,12100,Шасси,Шасси,Газотурбинный,18.9,990,Снято с производства,Northrop Grumman,13865,,,18.92,
66,Франция,Самолетный тип,300,20,500,7600,Шасси,Шасси,ДВС,18,310,В разработке,Sagem SA,250,Нет данных,Нет данных,,
67,США,Самолетный тип,1740,,2778,12192,Шасси,Шасси,Газотурбинный,5.94,990,Снято с производства,Northrop Grumman,472,,,5.94,
68,США,Вертолетный тип,2948,20,4170,9150,Вертикальный,Вертикальный,Газотурбинный,,305,В производстве,Frontier Systems Inc.,1814,,,11,
69,США,Самолетный тип,3855,8,925,13716,Шасси,Шасси,Газотурбинный,"21,03",460,Снято с производства,Lockheed,1878,,,,
70,США,Самолетный тип,16550,,2400,12200,Шасси,Шасси,Газотурбинный,15,1020,В разработке,Boeing,,,,,
71,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
72,США,Самолетный тип,1134,1.22,322,18000,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700,Снято с производства,Teledyne Ryan,454,,,,
73,СССР,Самолетный тип,1230,0.28,180,1000,Пусковая установка,Шасси,Газотурбинный,2.24,950,Снято с производства,ОКБ Туполева,,,,,
74,СССР,Самолетный тип,1400,,360,5000,Пусковая установка,Шасси,Газотурбинный,2.25,950,Снято с производства,ОКБ Туполева,,,,,
75,США,Самолетный тип,1451,,1207,15240,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038,Снято с производства,Ryan Aeronautical Company,,,,,
76,Израиль,Самолетный тип,46,5,50,4600,Пусковая установка,Парашютная система,ДВС,"3,6",205,Снято с производства,Silver Arrow,25,,,,
77,Австралия,Самолетный тип,1650,Нет данных,1000,19200,Шасси,Шасси,Газотурбинный,7.62,908,Снято с производства,Government Aircraft Factory,,Нет данных,Нет данных,,
78,Китай,Самолетный тип,1700,3,2500,17500,Пусковая установка,Парашютная система,Газотурбинный,9.76,"800, 800",Снято с производства,BUAA,65,,,,
79,Великобритания,Самолетный тип,1724,,,6100,,Шасси,ДВС,"9,45",277,Снято с производства,Airspeed (1934) Ltd,,,,,
80,Китай,Самолетный тип,640,12,200,,Пусковая установка,Шасси,ДВС,8,220,В производстве,China Aerospace Science and Industry Corporation,80,GPS,,,
81,Индия,Самолетный тип,15000,48,1200,10500,Шасси,Шасси,Газотурбинный,12,920,В производстве,Defense Research and Development Organization,,,,,
82,Индия,Самолетный тип,720,15,250,10668,Шасси,Шасси,ДВС,7.9,175,В производстве,Defense Research and Development Organization,350,,,,
83,Израиль,Самолетный тип,1200,28,750,9200,Шасси,Шасси,ДВС,13.5,350,В производстве,Aeronautics Defense Systems,300,Нет данных,Нет данных,,
84,США,Самолетный тип,115,18,250,5200,Пусковая установка,В сетку,ДВС,4.3,165,В производстве,Northrop Grumman,56.6,,,,
85,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
86,Франция,Самолетный тип,300,20,500,7600,Шасси,Шасси,ДВС,18,310,В разработке,Sagem SA,250,Нет данных,Нет данных,,
87,США,Самолетный тип,1740,,2778,12192,Шасси,Шасси,Газотурбинный,5.94,990,Снято с производства,Northrop Grumman,472,,,5.94,
88,США,Вертолетный тип,2948,20,4170,9150,Вертикальный,Вертикальный,Газотурбинный,,305,В производстве,Frontier Systems Inc.,1814,,,11,
89,США,Самолетный тип,3855,8,925,13716,Шасси,Шасси,Газотурбинный,"21,03",460,Снято с производства,Lockheed,1878,,,,
90,США,Самолетный тип,16550,,2400,12200,Шасси,Шасси,Газотурбинный,15,1020,В разработке,Boeing,,,,,
91,США,Самолетный тип,6407,96,,19800,Шасси,Шасси,ДВС,"45,72",270,В разработке,Boeing Phantom Works,907,,,,
92,США,Самолетный тип,1134,1.22,322,18000,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700,Снято с производства,Teledyne Ryan,454,,,,
93,СССР,Самолетный тип,1230,0.28,180,1000,Пусковая установка,Шасси,Газотурбинный,2.24,950,Снято с производства,ОКБ Туполева,,,,,
94,СССР,Самолетный тип,1400,,360,5000,Пусковая установка,Шасси,Газотурбинный,2.25,950,Снято с производства,ОКБ Туполева,,,,,
95,США,Самолетный тип,1451,,1207,15240,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038,Снято с производства,Ryan Aeronautical Company,,,,,
96,Франция,Самолетный тип,75,4,50,3000,Шасси,Шасси,ДВС,2.6,320,Снято с производства,"Alcore Technologies, Dassault Electronique",20,Нет данных,Нет данных,,
97,Франция,Самолетный тип,85,5,150,3500,Пусковая установка,Парашютная система,ДВС,3.6,110,Снято с производства,"CAC, Дассо",62,Нет данных,Нет данных,,
98,Франция,Самолетный тип,115,3,Нет данных,4500,Пусковая установка,Парашютная система,ДВС,2.75,240,Снято с производства,Sagem SA,5,Нет данных,Нет данных,,
99,Франция,Самолетный тип,320,6,150,5100,Пусковая установка,Парашютная система,ДВС,6.5,120,В производстве,Sagem SA,50,,,,
100,Франция,Самолетный тип,0.5,0.5,3,2100,С руки,Парашютная система,Электрический,0.54,75,В производстве,Thales Group,0.07,Нет данных,Нет данных,,
101,Франция,Вертолетный тип,25,1,15,2100,Вертикальный,Вертикальный,ДВС,,60,В производстве,Survey Copter,,Нет данных,Нет данных,2.2,
102,Франция,Вертолетный тип,15,0.75,15,2500,Вертикальный,Вертикальный,ДВС,,40,В производстве,Survey Copter,5,Нет данных,Нет данных,1.8,
103,Франция,Вертолетный тип,12,0.5,40,1500,Вертикальный,Вертикальный,Электрический,,40,В производстве,Survey Copter,15,Нет данных,Нет данных,1.8,
104,Франция,Самолетный тип,10,2,40,2500,"Пусковая установка, С руки",Парашютная система,Электрический,3,100,В производстве,Survey Copter,2,Нет данных,Нет данных,,
105,Франция,Самолетный тип,7.5,2,45,1850,С руки,Парашютная система,Электрический,3.6,80,В разработке,Cassidian,1.1,Нет данных,Нет данных,,
106,Франция,Вертолетный тип,25,1.5,40,2100,Вертикальный,Вертикальный,ДВС,,70,В производстве,Survey Copter,10,Нет данных,0°С..+50°С,2.2,
107,Бельгия,Самолетный тип,147,0.42,93,,Шасси,Шасси,Газотурбинный,"1,72",325,Снято с производства,Thomson-CSF Electronics Belgium,46,,,,
108,Австрия,Самолетный тип,225,15,60,,Пусковая установка,Шасси,ДВС,"5,03",310,Снято с производства,C.Craft Wozlmayer GmbH,,,,,
109,Австрия,Вертолетный тип,200,6,180,1700,Вертикальный,Вертикальный,ДВС,,102,В производстве,"Schiebel, Горизонт",50,"GPS, ГЛОНАСС",Нет данных,3.02,
110,Испания,Самолетный тип,20,8,400,2000,Пусковая установка,Парашютная система,ДВС,3,130,В производстве,Aerovision,,,,,
111,Испания,Самолетный тип,45,3,50,4100,Пусковая установка,Парашютная система,ДВС,"3,48",200,В разработке,Instituto Nacional De Tecnica Aeroespacial,,,,,
112,Чехия,Самолетный тип,145,3,100,4000,Пусковая установка,Парашютная система,ДВС,4.12,180,В производстве,Технический институт ВВС и ПВО,,,,,
113,Турция,Самолетный тип,5,1.5,20,4500,С руки,Парашютная система,Электрический,2,90,В производстве,Baykar Machine Inc,,,,,
114,Турция,Вертолетный тип,340,4,150,3000,Вертикальный,Вертикальный,ДВС,,185,В производстве,Turkish Aerospace Industries,50,,,"5,6",
115,Турция,Самолетный тип,1600,24,200,9000,Пусковая установка,Парашютная система,Газотурбинный,17.3,220,В производстве,Turkish Aerospace Industries,200,,,,
116,Пакистан,Самолетный тип,80,,80,4500,Пусковая установка,Парашютная система,ДВС,"4,2",130,Снято с производства,Integrated Dynamics,,,,,
117,Пакистан,Самолетный тип,130,5-6,500,58,Пусковая установка,Парашютная система,ДВС,3.8,180,Снято с производства,Global Industrial Defense Solutions,,,,,
118,Пакистан,Самолетный тип,90,6,200,3660,Шасси,"Парашютная система, Шасси",ДВС,"5,2",,Снято с производства,Integrated Dynamics,,,,,
119,Пакистан,Самолетный тип,35,,50,4100,Шасси,Шасси,ДВС,"3,22",205,Снято с производства,Integrated Dynamics,,,,,
120,Пакистан,Самолетный тип,80,4,100,4100,Шасси,"Парашютная система, Шасси",ДВС,"4,5",205,В производстве,Integrated Dynamics,,,,,
121,Пакистан,Самолетный тип,245,8,1000,4700,Шасси,Шасси,ДВС,"6,6",150,В производстве,Satuma,,,,,
122,Пакистан,Самолетный тип,50,2.5,100,4100,Пусковая установка,Парашютная система,ДВС,"2,6",120,В разработке,Satuma,,,,,
123,Пакистан,Самолетный тип,145,5,550,3000,Шасси,Шасси,ДВС,"4,92",125,В производстве,Satuma,,,,,
124,Пакистан,Самолетный тип,40,1.5,50,3100,Шасси,Шасси,ДВС,"3,56",120,В производстве,Satuma,,,,,
125,Пакистан,Самолетный тип,70,1.5,50,5000,Пусковая установка,Парашютная система,ДВС,"3,05",300,В производстве,Satuma,,,,,
126,Пакистан,Самолетный тип,68,1.5,10,5000,Пусковая установка,Парашютная система,ДВС,"3,05",300,В производстве,Satuma,,,,,
127,Тунис,Самолетный тип,125,13,,5000,Пусковая установка,Парашютная система,ДВС,3.8,,Снято с производства,Tunisia Aero Technologies sarl,34,,,,
128,Тайвань,Самолетный тип,120,5,250,2640,Шасси,Шасси,ДВС,5,180,Снято с производства,Национальный институт науки и технологий Чун-Шань,,,,,
129,Тайвань,Самолетный тип,450,10,120,5000,Шасси,Шасси,ДВС,8.7,180,В производстве,Чжуншаньский институт науки и технологии,,,,,
130,Япония,Вертолетный тип,94,1,50,4100,Вертикальный,Вертикальный,ДВС,,105,В производстве,Yamaha Motor Company,,GPS,,3.1,
131,Япония,Коптерный тип,0.35,0.13,Нет данных,Нет данных,Вертикальный,Вертикальный,Электрический,,60,В разработке,Self Defence Forces,,Нет данных,Нет данных,,Нет данных
132,Казахстан,Самолетный тип,3,,20,3000,"Пусковая установка, С руки",Парашютная система,Электрический,"1,47",105,В производстве,Як-Алакон,,,,,
133,Казахстан,Самолетный тип,200,12,200,5000,Шасси,Шасси,ДВС,"5,34",210,В производстве,Як-Алакон,,,,,
134,Швеция,Вертолетный тип,95,4,100,3100,Вертикальный,Вертикальный,ДВС,,120,В производстве,Saab,,,Нет данных,3.3,
135,Швейцария,Вертолетный тип,350,2.5,100,450,Вертикальный,Вертикальный,Газотурбинный,,,В разработке,Unmanned Systems,,Нет данных,Нет данных,,
136,Аргентина,Вертолетный тип,450,10,1100,4500,Вертикальный,Вертикальный,ДВС,,190,В производстве,Aerodreams,230,,,6,
137,Аргентина,Вертолетный тип,8,1,30,1000,Вертикальный,Вертикальный,Электрический,"1,8",40,В производстве,Nostromo Defensa,,,,1.8,
138,Аргентина,Самолетный тип,30,6,740,2500,Шасси,Шасси,ДВС,4,145,В производстве,Nostromo Defensa,,,,,
139,Аргентина,Самолетный тип,160,1,,5900,Пусковая установка,На фюзеляж,ДВС,3.6,340,Снято с производства,FMA,,,,,
140,Аргентина,Самолетный тип,60,5,40,2000,Пусковая установка,Шасси,ДВС,"4,6",170,В производстве,Управление разработки и производства вооружения СВ Аргентины,20,,,,
141,Аргентина,Самолетный тип,48,15,750,4000,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,"3,6",160,В производстве,Aerodreams,,,,,
142,Аргентина,Самолетный тип,3.5,1,20,4000,Пусковая установка,На фюзеляж,Электрический,2.2,90,В производстве,Nostromo Defensa,,,,,
143,Аргентина,Самолетный тип,12,1,50,4100,Шасси,Шасси,Электрический,"2,5",100,В производстве,Nostromo Defensa,,,,,
144,Армения,Самолетный тип,60,5,580,4500,Шасси,Шасси,ДВС,"4,32",150,Снято с производства,Вооруженные силы Армении,,,,,
145,Белоруссия,Самолетный тип,145,7.6,705,7000,"Пусковая установка, Шасси",Шасси,ДВС,"5,76",190,Снято с производства,"Белспецвнештехника, Системтроникс",45,,-25..+50,,
146,Белоруссия,Самолетный тип,34,0.3,80,3000,Шасси,Парашютная система,Газотурбинный,2.82,360,Снято с производства,Indela,,,,,
147,Белоруссия,Самолетный тип,33,0.3,64,3500,Шасси,Шасси,Газотурбинный,"2,8",330,Снято с производства,Indela,,,,,
148,Белоруссия,Вертолетный тип,114,5,130,1500,Вертикальный,Вертикальный,ДВС,,90,Снято с производства,Indela,33,,–35°С..+50°С,3.2,
149,Белоруссия,Вертолетный тип,150,5,100,1500,Вертикальный,Вертикальный,ДВС,,130,Снято с производства,Indela,,,,3.17,
150,Белоруссия,Самолетный тип,35,7,50,4000,Шасси,Шасси,ДВС,"6,01",140,Снято с производства,Indela,,,,,
151,Белоруссия,Самолетный тип,65,10,600,4000,Шасси,Шасси,Электрический,"9,10",140,Снято с производства,Indela,,,,,
152,Белоруссия,Самолетный тип,85,3,300,3500,Шасси,Шасси,ДВС,3.8,150,Снято с производства,"ООО ""Кванд ИС""",,,,,
153,СССР,Самолетный тип,120,Нет данных,100,Нет данных,Пусковая установка,Парашютная система,ДВС,"2,12",180,Снято с производства,ОСКБ-С МАИ,,Нет данных,Нет данных,,
154,СССР,Самолетный тип,345,1.17,Нет данных,9000,Пусковая установка,Шасси,Газотурбинный,"2,7",750,Снято с производства,"КБ ""СОКОЛ""",,Нет данных,Нет данных,,
155,СССР,Самолетный тип,360,Нет данных,120,Нет данных,Шасси,Шасси,ДВС,"5,86",195,Снято с производства,ОСКБ-С МАИ,,Нет данных,Нет данных,,
156,СССР,Самолетный тип,140,Нет данных,70,3000,Вертикальный,Парашютная система,Газотурбинный,2,600,Снято с производства,Эникс,,Нет данных,Нет данных,,
157,СССР,Самолетный тип,130,2,60,3000,Пусковая установка,Парашютная система,ДВС,"3,25",Нет данных,Снято с производства,ОКБ Яковлева,,Нет данных,Нет данных,,
158,США,Самолетный тип,149,5,125,4570,"Пусковая установка, Шасси",Шасси,ДВС,"3,89",227,В производстве,AAI Corporation,86,,,,
159,США,Самолетный тип,211,5,200,3600,Пусковая установка,Шасси,ДВС,"5,15",185,В производстве,AAI Corporation,34,GPS,,,
160,США,Самолетный тип,265,14,200,4877,Шасси,Шасси,ДВС,"6,83",200,В производстве,AAI Corporation,,,,,
161,США,Самолетный тип,6.4,1.5,35,9200,Пусковая установка,Парашютная система,Электрический,1.2,120,Снято с производства,BAE Systems,0.9,,,,
162,США,Самолетный тип,27.7,9,150,4900,Пусковая установка,Шасси,ДВС,"2,1",200,В производстве,Advanced Research Inc.,,,,,
163,США,Самолетный тип,15,8,20,3657,Пусковая установка,Шасси,ДВС,"2,38",,В производстве,BAE Systems,,,,,
164,США,Самолетный тип,4.12,1,5,300,Пусковая установка,Парашютная система,Электрический,"2,74",100,Снято с производства,AeroVironment,,,,,
165,США,Самолетный тип,1.9,1.2,10,4500,С руки,Парашютная система,Электрический,1.3,100,В производстве,Aero Vironment,Нет данных,Нет данных,Нет данных,,
166,США,Самолетный тип,2.7,1,10,300,С руки,Парашютная система,Электрический,1.14,65,Снято с производства,AeroVironment,,,,,
167,США,Самолетный тип,3100,168,3500,20000,Шасси,Шасси,ДВС,53,110,Снято с производства,AeroVironment,,,,,
168,США,Самолетный тип,230,7,200,4570,Шасси,Шасси,ДВС,"3,96",203,Снято с производства,Alliant Techsystems,42,,,,
169,США,Самолетный тип,79,16,90,7100,Пусковая установка,В сетку,ДВС,"5,2",165,В производстве,Arcturus UAV,34,,,,
170,США,Самолетный тип,1020,4,300,6100,Вертикальный,Вертикальный,Газотурбинный,"5,34",520,Снято с производства,American Dynamics,227,,,,
171,США,Самолетный тип,150,16,36,5100,Пусковая установка,"Парашютная система, Шасси",ДВС,"5,6",200,В производстве,BAE Systems,32,,,,
172,США,Самолетный тип,68,14,120,4100,Шасси,Шасси,ДВС,"3,66",110,В производстве,L-3 Unmanned Systems,20,GPS,,,
173,США,Самолетный тип,664,2,,12192,Пусковая установка,Парашютная система,Газотурбинный,"2,99",925,Снято с производства,Beech Aircraft,,,,,
174,США,Самолетный тип,1020,5,257,6096,Шасси,Шасси,Газотурбинный,3.75,322,Снято с производства,Scaled Composites,430,,,2.5,
175,США,Самолетный тип,15,20,150,5600,Пусковая установка,Трос,ДВС,"3,11",100,В производстве,Insitu Inc.,,,,,
176,США,Самолетный тип,227,0.66,150,5000,Шасси,Шасси,Газотурбинный,"6,22",220,Снято с производства,Cranfield Aerospace,49,,,,
177,США,Самолетный тип,592,,,5300,Шасси,Шасси,ДВС,8.2,225,Снято с производства,Culver,,,,,
178,США,Самолетный тип,830,,580,5200,Шасси,Шасси,ДВС,"9,14",300,Снято с производства,Culver,,,,,
179,США,Самолетный тип,35,12,40,4100,Шасси,Шасси,ДВС,"3,28",80,Снято с производства,Dara Aviation,3.62,GPS,,,
180,США,Самолетный тип,34,3,50,1250,Шасси,Шасси,ДВС,"1,75",85,Снято с производства,Dara Aviation,13.6,GPS,,,
181,США,Самолетный тип,63,4,150,2640,Пусковая установка,Парашютная система,ДВС,2.31,153,В производстве,DRS Technologies,,,,,
182,США,Самолетный тип,572,,845,3962,Шасси,Шасси,ДВС,"9,14",188,Снято с производства,ERCO,233,,,,
183,США,Самолетный тип,6940,,20,7000,Шасси,Шасси,ДВС,11,350,Снято с производства,Fairchild,,,,,
184,США,Самолетный тип,1219,,,,Шасси,Шасси,ДВС,"8,9",298,Снято с производства,Fleetwings,,,,,
185,США,Самолетный тип,215,6.5,50,4572,Шасси,Шасси,ДВС,4.9,222,В производстве,Freewing Aerial Robotics,70,,,,
186,США,Самолетный тип,1041,40,250,8250,Шасси,Шасси,Газотурбинный,18.15,216,Снято с производства,General Atomics Aeronautical Systems,270,"GPS, Инерциальная навигация",,,
187,США,Самолетный тип,4760,24,Нет данных,15000,Шасси,Шасси,Газотурбинный,20.12,482,В производстве,General Atomics Aeronautical Systems,1701,,,,
188,США,Самолетный тип,1020,40,740,7920,Шасси,Шасси,ДВС,14.84,217,Снято с производства,,590,,,,
189,США,Коптерный тип,25,0.6,15,3200,Вертикальный,Вертикальный,ДВС,0.35,130,В производстве,Honeywell,0.4,Нет данных,Нет данных,,
190,США,Самолетный тип,90,4.5,150,5100,Шасси,Шасси,ДВС,2.5,160,В разработке,IntelliTech Microsystems Inc.,14,,,,
191,США,Вертолетный тип,2948,3,39.6,4600,Вертикальный,Вертикальный,Газотурбинный,,148,В производстве,Kaman Aircraft,3109,,,14.73,
192,США,Самолетный тип,929,24,,29524,Шасси,Шасси,Электрический,75.3,43,Снято с производства,AeroVironment,329,,,,
