,Country,Company,Platform,Endurance,Range,Payload cap.,Max speed,Ceiling,Max takeoff weight,Width (wingspan or rotor),Length,Photo Credit
100,France,Survey Copter,Copter 4,2.5,40.0,8.5,54.0,"2,500 m",30.0,2.2,2.0,
101,France,Lehmann Aviation,LA500,0.75,3.0,0.4,80.0,"3,500 m",1.3,1.16,,
102,Finland,Patria,MASS Mini-UAV,1.25,20.0,0.5,120.0,150.0,3.5,1.5,1.1,
103,Estonia,Threod Systems,Theia,24.0,120.0,25.0,150.0,"5,000 m",75.0,4.2,,Therod Systems/YouTube
104,Czech Republic,Hacker,HAES 90,1.0,10.0,,90.0,300.0,,2.4,,
105,Croatia,Soko,B-3,,150.0,20.0,180.0,"4,500 m",,,,
106,China,Yuneec,Typhoon H,0.4,,0.3,70.0,,1.95,0.5,0.5,MW Technology/YouTube
107,China,Yuneec,Typhoon Q500,0.4,,,,122.0,1.1,0.4,0.4,
108,China,Zhuhai Zingyu Aviation Technology Company,Clairvoyance,2.0,,10.0,140.0,"4,500 m",40.5,3.9,2.3,
109,China,DJI,Inspire 1 Pro,0.3,,,65.0,"4,500 m",3.5,0.4,0.4,
110,China,DJI,Phantom 3,0.4,,,58.0,"6,000 m",1.2,,,
111,China,Hubei Ewatt Technologies,EWG-2,2.0,200.0,3.0,110.0,"3,000 m",15.0,1.6,2.24,
112,China,Xi'an ASN Technology Group ,ASN-209,10.0,200.0,50.0,180.0,"5,000 m",320.0,7.5,4.3,
113,China,Xi'an ASN Technology Group,ASN-206,8.0,150.0,50.0,210.0,"6,000 m",222.0,6.0,3.8,Henri Kenhmann/YouTube
114,China,China Aerospace Science and Technology Corporation (CASC),CH-4,38.0,3500.0,345.0,180.0,"8,000 m",1330.0,18.0,8.5,defenseupdate
115,China,Harbin Aircraft Industry,BZK-005,40.0,,150.0,180.0,"8,000 m",1250.0,,,
116,China,Chengdu Aircraft Industry Group,Wing Loong II,20.0,,480.0,370.0,"9,000 m",4200.0,20.5,11.0,
117,Chile,R.M.S.S.A.,Trauco III,0.8,110.0,20.0,360.0,"8,200 m",210.0,4.0,3.9,
118,Chile,R.M.S.S.A.,Petrel II,1.0,110.0,31.0,796.0,"12,000 m",183.0,1.7,3.6,
119,Chile,R.M.S.S.A,Mantarraya,4.0,100.0,15.0,240.0,"3,000 m",60.0,2.5,1.4,patomccoll/YouTube
120,Chile,Idetec,Stardust,2.0,20.0,1.0,65.0,"5,000 m",4.5,,,
121,Canada,DraganFly Innovations,Guardian,,,0.4,50.0,"2,438 m",1.3,0.5,0.5,Roswell Flight Test Crew/YouTube
122,Canada,Aeryon Labs,SkyRanger,0.8,10.0,,65.0,450.0,2.4,1.0,1.0,
123,Canada,MMIST,Snowgoose B,15.0,800.0,260.0,61.0,"5,486 m",600.0,1.0,2.9,
124,Brazil,GyroFly,500.0,0.5,2.0,1.0,54.0,"1,000 m",,,,
125,Brazil,AeroFoundry,Linea Watupa LEX-300,,210.0,4.0,,"2,000 m",14.0,2.1,,
126,Belgium,Trimble,UX5 HP,0.5,52.0,,140.0,"5,000 m",2.9,1.0,,"Monsen Engineering, Inc./YouTube"
127,Argentina,Lipan,M3,5.0,40.0,,180.0,"1,800 m",60.0,4.6,,
128,Argentina,Nostromo Defensa,Yarara W,6.0,30.0,9.0,163.0,"3,000 m",15.6,4.0,2.5,
129,Argentina,Nostromo Defensa,Cabure III,1.5,15.0,,105.0,"4,000 m",5.0,2.2,1.2,
130,Argentina,Aerodreams,Chi-7 Helicoptero UAV,10.0,,230.0,190.0,"4,500 m",450.0,6.0,7.2,
131,Argentina,Aerodreams,UAV Strix,15.0,,18.0,160.0,"4,000 m",48.0,3.6,,
132,Israel,Israel Aerospace Industries,Searcher MK III,18.0,250.0,120.0,204.0,"7,010 m",450.0,8.6,,
133,Israel,Israel Aerospace Industries,Panther,4.0,60.0,10.0,,914.0,65.0,8.0,,
134,Norway,Prox Dynamics,Black Hornet,0.45,1.6,,18.0,,1.3,0.12,0.2,
135,Poland,FlyTronic,FlyEye,3.0,200.0,4.0,120.0,"4,000 m",11.0,3.6,1.9,WB Electronics/YouTube
136,Netherlands,High Eye,HEF 32,4.5,50.0,5.0,130.0,"6,000 m",21.0,1.8,1.76,
137,Australia,Aerosonde,AAI Aerosonde Mark 4.7 Micro,14.0,140.0,9.0,148.0,"4,500 m",36.0,3.6,2.0,
138,Germany,EMT,Luna,8.0,100.0,,70.0,"5,000 m",40.0,4.2,2.4,
139,Latvia,UAV Factory,Penguin C,20.0,100.0,,115.0,"4,500 m",23.0,3.3,2.3,UAVFACTORY/YouTube
140,Israel,Israel Aerospace Industries,Super Heron,45.0,1000.0,450.0,278.0,"9,144 m",1450.0,17.0,,
141,Israel,Israel Aerospace Industries,Ghost,0.6,,,65.0,,4.8,0.8,1.5,
142,Germany,Aibotix,Aibot,0.4,,2.0,40.0,"1,000 m",6.6,1.1,1.1,
143,Russia,Zala Aero Group,Zala 421-08M,1.4,25.0,0.3,130.0,"3,600 m",2.5,0.8,0.4,
144,Russia,Orlan,Orlan 50,8.0,500.0,15.0,180.0,"5,000 m",50.0,3.8,2.4,
145,Slovenia,C-Astral,Bramor C4EYE,3.0,40.0,,108.0,"5,000 m",4.5,2.3,1.0,AIRBOYD/YouTube
146,Switzerland,UMS Skeldar,V-200,5.0,90.0,40.0,140.0,"3,000 m",235.0,4.6,4.0,
147,Switzerland,SenseFly,eBee Micro,0.8,3.0,,90.0,,0.7,1.0,,Notebook Italia/YouTube
148,Switzerland,UMS Skeldar,F-720,12.0,200.0,70.0,200.0,"4,900 m",250.0,7.2,4.8,
149,Turkey,Turkish Aerospace Industries,Anka,24.0,200.0,200.0,217.0,"9,144 m",1600.0,17.0,8.0,
150,Austria,Schiebel,Camcopter S-100,10.0,200.0,50.0,240.0,"5,486 m",200.0,3.4,3.1,
151,Belarus,Indela UAV,I.N. Sky,5.0,,25.0,37.0,"1,500 m",125.0,3.1,3.0,
152,Israel,Elbit,Skylark I-LE,3.0,15.0,1.2,,"4,572 m",7.5,2.0,,
153,Israel,Elbit,Hermes 900,36.0,,350.0,222.0,"9,100 m",1180.0,15.0,9.1,
